index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
230,1000,0.50,500,2,17,0.7500,1.5,30,390.00,0.257628
231,1000,0.50,500,2,17,0.7500,1.5,31,332.00,0.465281
232,1000,0.50,500,2,17,0.7500,1.5,32,365.00,0.271625
233,1000,0.50,500,2,17,0.7500,1.5,33,387.00,1.111596
234,1000,0.50,500,2,17,0.7500,1.5,34,347.00,0.214791
235,1000,0.50,500,2,17,0.7500,1.5,35,387.00,0.954304
236,1000,0.50,500,2,17,0.7500,1.5,36,317.00,0.355311
237,1000,0.50,500,2,17,0.7500,1.5,37,384.00,0.518361
238,1000,0.50,500,2,17,0.7500,1.5,38,369.00,1.027236
239,1000,0.50,500,2,17,0.7500,1.5,39,337.00,0.459935
240,1000,0.50,500,2,17,0.7500,1.5,40,359.00,0.401316
241,1000,0.50,500,2,17,0.7500,1.5,41,364.00,0.327911
242,1000,0.50,500,2,17,0.7500,1.5,42,316.00,0.597244
243,1000,0.50,500,2,17,0.7500,1.5,43,318.00,0.262276
244,1000,0.50,500,2,17,0.7500,1.5,44,353.00,0.814148
245,1000,0.50,500,2,17,0.7500,1.5,45,316.00,0.547376
246,1000,0.50,500,2,17,0.7500,1.5,46,334.00,0.644327
247,1000,0.50,500,2,17,0.7500,1.5,47,315.00,0.248579
248,1000,0.50,500,2,17,0.7500,1.5,48,329.00,0.439658
249,1000,0.50,500,2,17,0.7500,1.5,49,360.00,0.465849
250,1000,0.50,500,2,17,0.7500,1.5,50,325.00,0.219129
251,1000,0.50,500,2,17,0.7500,1.5,51,321.00,5.108984
252,1000,0.50,500,2,17,0.7500,1.5,52,349.00,2.281718
253,1000,0.50,500,2,17,0.7500,1.5,53,335.00,0.292412
254,1000,0.50,500,2,17,0.7500,1.5,54,346.00,0.194990
255,1000,0.50,500,2,17,0.7500,1.5,55,329.00,0.455401
256,1000,0.50,500,2,17,0.7500,1.5,56,333.00,0.452711
257,1000,0.50,500,2,17,0.7500,1.5,57,327.00,0.302085
258,1000,0.50,500,2,17,0.7500,1.5,58,334.00,0.508380
259,1000,0.50,500,2,17,0.7500,1.5,59,364.00,0.094009
260,1000,0.50,500,2,17,0.7500,1.5,60,375.00,0.235835
261,1000,0.50,500,2,17,0.7500,1.5,61,328.00,0.078080
262,1000,0.50,500,2,17,0.7500,1.5,62,360.00,0.231956
263,1000,0.50,500,2,17,0.7500,1.5,63,341.00,0.162210
264,1000,0.50,500,2,17,0.7500,1.5,64,357.00,0.115546
265,1000,0.50,500,2,17,0.7500,1.5,65,345.00,0.321296
266,1000,0.50,500,2,17,0.7500,1.5,66,359.00,0.017880
267,1000,0.50,500,2,17,0.7500,1.5,67,373.00,0.179366
268,1000,0.50,500,2,17,0.7500,1.5,68,357.00,1.471603
269,1000,0.50,500,2,17,0.7500,1.5,69,342.00,0.306639
270,1000,0.50,500,2,17,0.7500,1.5,70,337.00,3.660036
271,1000,0.50,500,2,17,0.7500,1.5,71,344.00,0.190810
272,1000,0.50,500,2,17,0.7500,1.5,72,341.00,0.095084
273,1000,0.50,500,2,17,0.7500,1.5,73,342.00,0.385884
274,1000,0.50,500,2,17,0.7500,1.5,74,329.00,0.179717
275,1000,0.50,500,2,17,0.7500,1.5,75,362.00,0.260562
276,1000,0.50,500,2,17,0.7500,1.5,76,332.00,0.522981
277,1000,0.50,500,2,17,0.7500,1.5,77,368.00,0.071399
278,1000,0.50,500,2,17,0.7500,1.5,78,371.00,0.309356
279,1000,0.50,500,2,17,0.7500,1.5,79,359.00,0.263333
280,1000,0.50,500,2,17,0.7500,1.5,80,354.00,0.330008
281,1000,0.50,500,2,17,0.7500,1.5,81,353.00,0.407880
282,1000,0.50,500,2,17,0.7500,1.5,82,319.00,0.441696
283,1000,0.50,500,2,17,0.7500,1.5,83,352.00,0.089161
284,1000,0.50,500,2,17,0.7500,1.5,84,355.00,0.046602
285,1000,0.50,500,2,17,0.7500,1.5,85,361.00,0.925982
286,1000,0.50,500,2,17,0.7500,1.5,86,341.00,0.200063
287,1000,0.50,500,2,17,0.7500,1.5,87,327.00,0.940490
288,1000,0.50,500,2,17,0.7500,1.5,88,346.00,0.701717
289,1000,0.50,500,2,17,0.7500,1.5,89,337.00,0.134934
290,1000,0.50,500,2,17,0.7500,1.5,90,346.00,0.068919
291,1000,0.50,500,2,17,0.7500,1.5,91,355.00,1.589698
292,1000,0.50,500,2,17,0.7500,1.5,92,331.00,2.608671
293,1000,0.50,500,2,17,0.7500,1.5,93,359.00,0.113825
294,1000,0.50,500,2,17,0.7500,1.5,94,355.00,0.651168
295,1000,0.50,500,2,17,0.7500,1.5,95,331.00,0.184992
296,1000,0.50,500,2,17,0.7500,1.5,96,349.00,0.417967
297,1000,0.50,500,2,17,0.7500,1.5,97,344.00,2.070562
298,1000,0.50,500,2,17,0.7500,1.5,98,354.00,0.248633
299,1000,0.50,500,2,17,0.7500,1.5,99,332.00,0.171436
300,1000,0.50,500,2,17,1.0000,2.0,0,331.00,0.301310
301,1000,0.50,500,2,17,1.0000,2.0,1,336.00,0.588552
302,1000,0.50,500,2,17,1.0000,2.0,2,366.00,0.914112
303,1000,0.50,500,2,17,1.0000,2.0,3,331.00,0.047207
304,1000,0.50,500,2,17,1.0000,2.0,4,333.00,0.072361
305,1000,0.50,500,2,17,1.0000,2.0,5,356.00,0.480825
